account_npi,call_type,call_record_type,date,account_target_type,territory
2252560418,Detail with Sample,POC Call Report,12/14/2024,DSA TOP 30,3601A1
1900528041,Detail Only,P2P Call,,DSA TOP 30,3501A1
1258532314,Group Detail,Event Call Report,10/10/2024,DSS TOP 30,3502S1
2111938441,Sample Only,HCP Call,10/15/2024,DSS TOP 30,3102A1
1901047975,Sample Only,POC Call Report,10/23/2024,DSA NEXT BEST,3401S1
,Group Detail,Marketing Event,,DSA TOP 30,3301A1
2571329172,Sample Only,SAM HCO Call Report,5/3/2024,DSA NEXT BEST,3302A1
2346833995,Detail with Sample,SAM HCO Call Report,5/28/2024,DSA NEXT BEST,3202S1
1306246859,Group Detail,Sampled Call,9/23/2024,DSA TOP 30,3502S1
2277618571,Sample Only,Non-Sampled Call,5/20/2024,DSA NT AFFILIATE,3102A1
1720830379,Detail Only,Non-Sampled Call,4/21/2024,NON-TARGET,3501A1
,Call Only,Event Call Report,6/29/2024,DSS TOP 30,3301A1
1916693367,Group Detail,HCP Call,6/23/2024,NON-TARGET,3401S1
,Group Detail,P2P Call,,DSA NEXT BEST,3501A1
1388917435,Detail with Sample,P2P Call,7/4/2024,DSA NEXT BEST,3201S1
1045599212,Group Detail,Non-Sampled Call,5/15/2024,DSS TOP 30,3203S1
2714743529,Detail Only,Marketing Event,8/9/2024,DSA TOP 30,3202S1
,Call Only,POC Call Report,,DSA NT AFFILIATE,3402S1
2874751148,Call Only,Marketing Event,8/17/2024,DSA NT AFFILIATE,3302A1
2217905775,Detail Only,SAM HCO Call Report,7/18/2024,DSS TOP 30,3202S1
,Call Only,Marketing Event,,DSA NT AFFILIATE,3303A1
,Group Detail,Group Training,,NON-TARGET,3502S1
2485031880,Detail Only,HCP Call,2/12/2024,DSA NEXT BEST,3502S1
2451231852,Group Detail,P2P Call,8/23/2024,DSS TOP 30,3502S1
1780913040,Sample Only,Sampled Call,8/23/2024,DSA TOP 30,3301A1
2269650632,Detail with Sample,SAM HCO Call Report,11/7/2024,DSA TOP 30,3303A1
1501080848,Call Only,Non-Sampled Call,8/30/2024,NON-TARGET,3402S1
,Sample Only,P2P Call,,DSA NEXT BEST,3101A1
9686791774,Detail with Sample,POC Call Report,3/23/2024,NON-TARGET,3402S1
2239027362,Group Detail,HCP Call,7/17/2024,DSA NT AFFILIATE,3201S1
1903A6DCE4,Detail with Sample,POC Call Report,6/10/2024,NON-TARGET,3601A1
,Group Detail,Group Training,,DSA NT AFFILIATE,3502S1
2396745503,Group Detail,SAM HCO Call Report,4/30/2024,NON-TARGET,3303A1
2628659732,Call Only,Marketing Event,9/13/2024,DSA NT AFFILIATE,3101A1
1903874517,Group Detail,POC Call Report,5/13/2024,NON-TARGET,3601A1
1841133521,Call Only,POC Call Report,12/11/2024,DSA NEXT BEST,3602S1
2648403224,Detail with Sample,SAM HCO Call Report,8/10/2024,DSS TOP 30,3102A1
1920295977,Sample Only,Group Training,10/11/2024,NON-TARGET,3103A1
1172058800,Call Only,Event Call Report,12/26/2024,NON-TARGET,3103A1
1538858166,Detail Only,Event Call Report,4/14/2024,DSS TOP 30,3502S1
3599127010,Detail Only,SAM HCO Call Report,8/29/2024,DSA NT AFFILIATE,3502S1
2087077000,Call Only,P2P Call,4/27/2024,DSA NT AFFILIATE,3303A1
,Detail Only,Non-Sampled Call,6/22/2024,DSA NT AFFILIATE,3301A1
1684045634,Detail Only,POC Call Report,,DSA NEXT BEST,3303A1
1732350903,Detail with Sample,Sampled Call,4/21/2024,DSS TOP 30,3302A1
2650309715,Call Only,POC Call Report,7/21/2024,DSS TOP 30,3402S1
2996959512,Call Only,Non-Sampled Call,11/26/2024,DSS TOP 30,3302A1
4019A436A7,Call Only,SAM HCO Call Report,10/11/2024,DSS TOP 30,3501A1
2323157632,Detail with Sample,HCP Call,,DSA NT AFFILIATE,3401S1
,Group Detail,Non-Sampled Call,,DSA TOP 30,3301A1
1488495274,Detail Only,P2P Call,12/2/2024,NON-TARGET,3602S1
1327199921,Group Detail,P2P Call,,DSA TOP 30,3202S1
9198154248,Sample Only,Sampled Call,2/13/2024,DSA NT AFFILIATE,3302A1
1442515365,Sample Only,Marketing Event,6/8/2024,DSA TOP 30,3501A1
2841029172,Call Only,SAM HCO Call Report,,DSA NT AFFILIATE,3401S1
1238600884,Sample Only,HCP Call,12/21/2024,NON-TARGET,3301A1
2545123339,Call Only,SAM HCO Call Report,11/24/2024,DSA NT AFFILIATE,3203S1
2749939795,Sample Only,Non-Sampled Call,8/13/2024,DSA NEXT BEST,3103A1
2188307470,Sample Only,Group Training,10/21/2024,DSA TOP 30,3501A1
3649080110,Detail with Sample,POC Call Report,6/21/2024,NON-TARGET,3501A1
1967251727,Detail Only,Non-Sampled Call,7/23/2024,DSA NEXT BEST,3602S1
1742413303,Detail Only,P2P Call,11/20/2024,NON-TARGET,3401S1
,Group Detail,SAM HCO Call Report,,DSS TOP 30,3502S1
,Detail Only,Sampled Call,,DSA NT AFFILIATE,3302A1
2553161676,Detail with Sample,Group Training,2/20/2024,DSA NT AFFILIATE,3301A1
,Detail with Sample,Marketing Event,6/27/2024,DSA NEXT BEST,3501A1
,Detail Only,POC Call Report,11/30/2024,DSS TOP 30,3303A1
,Group Detail,POC Call Report,4/12/2024,NON-TARGET,3401S1
2573211147,Call Only,SAM HCO Call Report,2/24/2024,NON-TARGET,3601A1
1732760846,Detail with Sample,POC Call Report,2/18/2024,NON-TARGET,3301A1
2619717024,Call Only,POC Call Report,7/8/2024,DSA NT AFFILIATE,3302A1
2052953060,Group Detail,P2P Call,3/3/2024,DSA NT AFFILIATE,3402S1
1233122959,Detail with Sample,HCP Call,6/16/2024,DSS TOP 30,3102A1
2644331601,Sample Only,P2P Call,7/4/2024,DSA NT AFFILIATE,3201S1
1967251727,Group Detail,Group Training,11/17/2024,DSA NT AFFILIATE,3202S1
1747505236,Call Only,Non-Sampled Call,4/30/2024,DSA NT AFFILIATE,3402S1
2957378231,Call Only,P2P Call,,DSS TOP 30,3402S1
1901047975,Call Only,P2P Call,3/19/2024,DSA NT AFFILIATE,3203S1
2516606882,Group Detail,Event Call Report,9/23/2024,DSS TOP 30,3203S1
6757114332,Sample Only,P2P Call,10/1/2024,DSA NT AFFILIATE,3601A1
1493519720,Group Detail,SAM HCO Call Report,1/14/2024,DSA NEXT BEST,3401S1
1156009514,Call Only,Non-Sampled Call,6/24/2024,DSA TOP 30,3502S1
1877008658,Group Detail,Marketing Event,7/27/2024,DSA NEXT BEST,3203S1
1007846163,Detail with Sample,POC Call Report,4/25/2024,DSA NT AFFILIATE,3502S1
1208689511,Group Detail,HCP Call,11/12/2024,DSS TOP 30,3601A1
1423235058,Call Only,Event Call Report,2/17/2024,DSS TOP 30,3501A1
2874991363,Detail Only,Sampled Call,4/19/2024,DSA TOP 30,3601A1
,Detail Only,Non-Sampled Call,,NON-TARGET,3201S1
,Call Only,Marketing Event,,DSS TOP 30,3202S1
,Detail with Sample,Non-Sampled Call,,DSA NEXT BEST,3301A1
8AD78434EF,Group Detail,Non-Sampled Call,2/6/2024,NON-TARGET,3401S1
1603335512,Detail with Sample,Marketing Event,6/3/2024,DSS TOP 30,3301A1
1342585963,Detail with Sample,P2P Call,3/13/2024,DSA TOP 30,3202S1
,Detail Only,Non-Sampled Call,5/15/2024,NON-TARGET,3302A1
,Detail with Sample,Non-Sampled Call,,DSS TOP 30,3601A1
1590664262,Detail Only,Sampled Call,9/3/2024,DSA NEXT BEST,3302A1
2403964139,Sample Only,Group Training,9/13/2024,DSA NT AFFILIATE,3301A1
2716521394,Group Detail,POC Call Report,9/10/2024,DSA NEXT BEST,3102A1
,Detail with Sample,POC Call Report,9/29/2024,DSS TOP 30,3303A1
1446166181,Call Only,Non-Sampled Call,5/22/2024,DSA NT AFFILIATE,3101A1
,Detail with Sample,Event Call Report,6/17/2024,NON-TARGET,3203S1
1888468632,Group Detail,SAM HCO Call Report,8/8/2024,NON-TARGET,3203S1
1568418667,Sample Only,Non-Sampled Call,2/13/2024,DSA NT AFFILIATE,3501A1
5E59EE4E7F,Sample Only,POC Call Report,6/19/2024,DSA TOP 30,3201S1
3387781788,Group Detail,P2P Call,2/29/2024,DSA NT AFFILIATE,3602S1
1555458387,Group Detail,Event Call Report,7/31/2024,DSA TOP 30,3101A1
2052953060,Call Only,SAM HCO Call Report,6/9/2024,NON-TARGET,3301A1
,Group Detail,Group Training,,DSS TOP 30,3301A1
3131172805,Group Detail,Sampled Call,11/19/2024,DSS TOP 30,3303A1
2A7B5A73EC,Detail Only,Non-Sampled Call,3/25/2024,DSS TOP 30,3103A1
2965022813,Detail Only,Event Call Report,12/4/2024,NON-TARGET,3401S1
1406903557,Group Detail,SAM HCO Call Report,10/26/2024,NON-TARGET,3401S1
1883973313,Sample Only,Sampled Call,7/27/2024,DSA NEXT BEST,3301A1
,Call Only,Marketing Event,2/6/2024,DSS TOP 30,3203S1
1333613493,Call Only,SAM HCO Call Report,,DSS TOP 30,3101A1
1818280453,Detail Only,Non-Sampled Call,9/17/2024,DSA NT AFFILIATE,3203S1
2944762950,Call Only,Sampled Call,11/28/2024,NON-TARGET,3601A1
2207087830,Detail with Sample,Non-Sampled Call,,DSA NT AFFILIATE,3101A1
1577934043,Sample Only,Non-Sampled Call,7/26/2024,DSA NT AFFILIATE,3102A1
9896359941,Detail with Sample,Sampled Call,10/31/2024,DSA NEXT BEST,3102A1
1906444664,Detail Only,Sampled Call,,DSA TOP 30,3303A1
2035199716,Call Only,HCP Call,9/26/2024,DSA TOP 30,3602S1
2278159567,Call Only,POC Call Report,7/18/2024,DSA TOP 30,3501A1
2087077000,Detail with Sample,Non-Sampled Call,12/25/2024,DSA NT AFFILIATE,3303A1
2179230442,Detail with Sample,Marketing Event,3/22/2024,DSA TOP 30,3602S1
2043771712,Detail with Sample,Sampled Call,5/7/2024,DSS TOP 30,3401S1
1548885787,Detail Only,Non-Sampled Call,12/4/2024,DSS TOP 30,3601A1
1533026389,Sample Only,SAM HCO Call Report,,DSA NEXT BEST,3501A1
1889868798,Call Only,HCP Call,1/30/2024,DSA NT AFFILIATE,3601A1
2489704511,Group Detail,P2P Call,2/15/2024,DSS TOP 30,3301A1
1304349143,Detail with Sample,SAM HCO Call Report,2/27/2024,DSA TOP 30,3302A1
1781663495,Group Detail,Marketing Event,10/19/2024,DSA NEXT BEST,3501A1
1995399118,Group Detail,Marketing Event,8/16/2024,NON-TARGET,3202S1
2877293890,Sample Only,Group Training,10/2/2024,DSS TOP 30,3502S1
1215447259,Detail with Sample,POC Call Report,9/20/2024,NON-TARGET,3102A1
,Detail Only,Non-Sampled Call,2/3/2024,DSA NT AFFILIATE,3202S1
2919582995,Detail with Sample,Non-Sampled Call,6/4/2024,NON-TARGET,3303A1
,Group Detail,POC Call Report,,NON-TARGET,3501A1
1558798615,Group Detail,Marketing Event,,NON-TARGET,3303A1
2DC56A0D0A,Call Only,Sampled Call,2/21/2024,DSA NEXT BEST,3301A1
6C308D9E6A,Detail Only,Non-Sampled Call,10/6/2024,DSA NT AFFILIATE,3103A1
2456742093,Sample Only,P2P Call,4/23/2024,NON-TARGET,3301A1
2632741399,Group Detail,P2P Call,4/8/2024,NON-TARGET,3102A1
2139692228,Group Detail,POC Call Report,8/19/2024,DSS TOP 30,3103A1
2955926924,Sample Only,HCP Call,4/22/2024,DSA NEXT BEST,3101A1
,Group Detail,Marketing Event,,DSS TOP 30,3202S1
2484967316,Call Only,HCP Call,4/28/2024,DSA TOP 30,3502S1
,Group Detail,HCP Call,3/31/2024,DSA NT AFFILIATE,3301A1
2103922079,Detail Only,SAM HCO Call Report,6/6/2024,DSS TOP 30,3602S1
2148317445,Call Only,Event Call Report,6/7/2024,NON-TARGET,3101A1
1233122959,Detail with Sample,SAM HCO Call Report,2/25/2024,DSA NT AFFILIATE,3602S1
,Detail with Sample,Sampled Call,,NON-TARGET,3303A1
1215447259,Call Only,Non-Sampled Call,3/6/2024,DSA NT AFFILIATE,3201S1
1045727821,Sample Only,Non-Sampled Call,12/10/2024,DSA NT AFFILIATE,3101A1
2767346824,Detail with Sample,Non-Sampled Call,1/29/2024,DSA TOP 30,3201S1
2435424078,Detail with Sample,SAM HCO Call Report,5/16/2024,DSS TOP 30,3302A1
2512934825,Call Only,Group Training,7/25/2024,DSA TOP 30,3103A1
,Detail Only,HCP Call,6/3/2024,NON-TARGET,3602S1
,Group Detail,Marketing Event,8/16/2024,DSA TOP 30,3101A1
,Group Detail,Event Call Report,,DSA NT AFFILIATE,3301A1
2396882454,Detail Only,Non-Sampled Call,8/15/2024,NON-TARGET,3101A1
,Detail Only,Event Call Report,11/2/2024,DSS TOP 30,3303A1
2626080184,Group Detail,Marketing Event,8/17/2024,DSA NT AFFILIATE,3302A1
2490416928,Call Only,POC Call Report,7/6/2024,NON-TARGET,3102A1
2791307057,Call Only,POC Call Report,3/16/2024,NON-TARGET,3201S1
1364444305,Sample Only,Non-Sampled Call,3/13/2024,DSA TOP 30,3202S1
,Detail Only,Event Call Report,9/27/2024,NON-TARGET,3502S1
2229889734,Detail with Sample,HCP Call,12/5/2024,NON-TARGET,3201S1
1889868798,Detail Only,SAM HCO Call Report,5/17/2024,NON-TARGET,3301A1
2120029661,Sample Only,Non-Sampled Call,7/21/2024,DSA NEXT BEST,3401S1
2136371305,Call Only,Event Call Report,10/17/2024,DSA TOP 30,3402S1
2490825623,Detail Only,Group Training,7/12/2024,DSA TOP 30,3301A1
1278423734,Call Only,POC Call Report,8/21/2024,DSA NT AFFILIATE,3203S1
7DEAD723FF,Call Only,Sampled Call,5/17/2024,DSA NT AFFILIATE,3203S1
1883819631,Detail Only,P2P Call,4/18/2024,DSA NEXT BEST,3103A1
1556682126,Group Detail,Non-Sampled Call,10/19/2024,DSA NEXT BEST,3203S1
2637253275,Call Only,Sampled Call,10/31/2024,DSS TOP 30,3402S1
,Detail with Sample,SAM HCO Call Report,10/3/2024,DSA NT AFFILIATE,3502S1
1970371207,Call Only,P2P Call,7/6/2024,DSS TOP 30,3203S1
