account_npi,call_type,call_record_type,date,account_target_type,territory
2866522341,Detail with Sample,Event Call Report,11/17/2024,DSS TOP 30,3102A1
1700632183,Group Detail,Sampled Call,9/25/2024,DSA NT AFFILIATE,3101A1
2231284387,Detail Only,Group Training,7/18/2024,NON-TARGET,3301A1
1476446115,Detail with Sample,Non-Sampled Call,1/19/2024,DSA TOP 30,3101A1
,Detail with Sample,Non-Sampled Call,8/29/2024,NON-TARGET,3101A1
2014746222,Group Detail,Group Training,12/13/2024,DSS TOP 30,3103A1
1217754595,Call Only,HCP Call,6/15/2024,DSA NT AFFILIATE,3301A1
,Sample Only,Non-Sampled Call,1/14/2024,DSS TOP 30,3202S1
,Call Only,HCP Call,5/27/2024,DSS TOP 30,3202S1
,Detail Only,Group Training,,DSA TOP 30,3401S1
1233624574,Group Detail,Event Call Report,8/13/2024,DSA TOP 30,3302A1
2154204727,Detail with Sample,POC Call Report,10/1/2024,DSA TOP 30,3502S1
2459958514,Detail with Sample,Event Call Report,4/3/2024,DSS TOP 30,3203S1
2303139832,Sample Only,P2P Call,1/4/2024,DSA NEXT BEST,3303A1
1742497744,Group Detail,P2P Call,5/8/2024,DSA NT AFFILIATE,3102A1
2572295414,Call Only,SAM HCO Call Report,,DSA NEXT BEST,3301A1
14BB57718F,Group Detail,POC Call Report,2/21/2024,DSA NEXT BEST,3302A1
,Call Only,Event Call Report,,DSA NT AFFILIATE,3302A1
1018192078,Group Detail,HCP Call,5/3/2024,DSS TOP 30,3201S1
1196641656,Detail with Sample,SAM HCO Call Report,7/7/2024,DSA NT AFFILIATE,3201S1
,Call Only,SAM HCO Call Report,,NON-TARGET,3203S1
,Detail with Sample,HCP Call,11/3/2024,DSA NT AFFILIATE,3203S1
1859105239,Sample Only,POC Call Report,12/10/2024,DSA NT AFFILIATE,3201S1
2017297058,Detail Only,Event Call Report,2/27/2024,DSA NT AFFILIATE,3501A1
,Detail with Sample,Marketing Event,,NON-TARGET,3201S1
1859708952,Detail Only,Marketing Event,12/27/2024,DSA NT AFFILIATE,3302A1
1062618093,Detail with Sample,Event Call Report,11/9/2024,NON-TARGET,3502S1
9763241727,Detail Only,POC Call Report,7/9/2024,DSA TOP 30,3501A1
1702387901,Call Only,Event Call Report,8/20/2024,DSA NEXT BEST,3201S1
,Detail Only,Marketing Event,8/12/2024,DSA TOP 30,3102A1
1484721624,Group Detail,Event Call Report,5/31/2024,DSA TOP 30,3602S1
,Sample Only,Event Call Report,,DSA NEXT BEST,3102A1
2477897355,Detail Only,Group Training,7/8/2024,DSA NEXT BEST,3601A1
,Detail with Sample,POC Call Report,,NON-TARGET,3303A1
1476446115,Sample Only,POC Call Report,12/23/2024,DSA TOP 30,3602S1
,Detail with Sample,SAM HCO Call Report,,DSA NEXT BEST,3102A1
2642939652,Detail Only,SAM HCO Call Report,6/6/2024,NON-TARGET,3301A1
,Detail Only,POC Call Report,,DSA NEXT BEST,3501A1
2414347936,Detail with Sample,Non-Sampled Call,10/28/2024,DSA NT AFFILIATE,3302A1
,Call Only,Event Call Report,,DSA NEXT BEST,3501A1
B4D9358835,Detail with Sample,P2P Call,12/15/2024,DSA TOP 30,3201S1
1125254001,Call Only,Group Training,7/14/2024,NON-TARGET,3601A1
2621440664,Call Only,POC Call Report,,DSA NEXT BEST,3303A1
1325705166,Sample Only,Non-Sampled Call,12/21/2024,DSA TOP 30,3501A1
2770705065,Detail Only,SAM HCO Call Report,1/20/2024,DSA NEXT BEST,3202S1
1522776168,Group Detail,Marketing Event,7/12/2024,DSA NEXT BEST,3401S1
,Group Detail,Marketing Event,7/25/2024,DSA NEXT BEST,3303A1
2958698447,Call Only,Marketing Event,6/22/2024,NON-TARGET,3203S1
37ACA4672F,Sample Only,Marketing Event,3/11/2024,DSA NEXT BEST,3201S1
68CF72DEAE,Call Only,Sampled Call,8/27/2024,DSS TOP 30,3502S1
1015447533,Detail Only,HCP Call,10/3/2024,DSA TOP 30,3202S1
2532034416,Group Detail,Group Training,,DSA NT AFFILIATE,3102A1
2818910289,Group Detail,Event Call Report,8/20/2024,DSA TOP 30,3202S1
2790527838,Detail with Sample,POC Call Report,9/7/2024,DSA TOP 30,3501A1
2687660767,Group Detail,Sampled Call,1/19/2024,DSA NEXT BEST,3103A1
2241286281,Group Detail,Non-Sampled Call,12/25/2024,DSS TOP 30,3302A1
,Sample Only,HCP Call,,DSA NT AFFILIATE,3302A1
2064315506,Detail with Sample,SAM HCO Call Report,4/3/2024,NON-TARGET,3301A1
2132215233,Detail with Sample,Sampled Call,12/22/2024,DSA NT AFFILIATE,3601A1
1560784272,Group Detail,Non-Sampled Call,1/20/2024,DSA NEXT BEST,3101A1
2944273545,Sample Only,Non-Sampled Call,12/28/2024,NON-TARGET,3401S1
2213981554,Detail Only,Non-Sampled Call,4/29/2024,DSA NEXT BEST,3201S1
8626615333,Sample Only,SAM HCO Call Report,10/4/2024,DSS TOP 30,3202S1
,Sample Only,Marketing Event,6/17/2024,DSA NEXT BEST,3502S1
1436282642,Detail with Sample,Group Training,9/13/2024,DSA NT AFFILIATE,3201S1
2370030682,Call Only,Non-Sampled Call,10/26/2024,NON-TARGET,3303A1
1335239578,Call Only,Marketing Event,8/28/2024,NON-TARGET,3601A1
,Detail with Sample,Sampled Call,9/17/2024,DSA NT AFFILIATE,3102A1
2809585256,Sample Only,Sampled Call,6/30/2024,DSA NT AFFILIATE,3502S1
1700632183,Group Detail,POC Call Report,,DSS TOP 30,3103A1
1405307461,Sample Only,Event Call Report,2/29/2024,DSA TOP 30,3201S1
2324761333,Sample Only,Event Call Report,5/27/2024,DSA NEXT BEST,3301A1
2807209529,Group Detail,P2P Call,6/9/2024,DSA NT AFFILIATE,3302A1
1039245814,Detail Only,Group Training,9/7/2024,DSA NEXT BEST,3601A1
2481434617,Group Detail,P2P Call,,DSA TOP 30,3202S1
2694272291,Detail Only,Sampled Call,5/3/2024,DSA TOP 30,3301A1
2625854068,Detail Only,Group Training,7/1/2024,DSA NT AFFILIATE,3401S1
1039245814,Detail with Sample,SAM HCO Call Report,7/26/2024,DSS TOP 30,3201S1
1086130729,Call Only,SAM HCO Call Report,11/2/2024,DSS TOP 30,3501A1
2707321176,Call Only,P2P Call,1/8/2024,DSA NEXT BEST,3303A1
2697584288,Detail Only,POC Call Report,4/18/2024,NON-TARGET,3502S1
1316746054,Call Only,Event Call Report,,DSA NT AFFILIATE,3102A1
2141333738,Detail Only,Non-Sampled Call,8/19/2024,DSS TOP 30,3203S1
1114823881,Detail Only,Group Training,4/12/2024,DSA NT AFFILIATE,3101A1
1120374002,Sample Only,Event Call Report,11/28/2024,DSA NT AFFILIATE,3201S1
1149537035,Detail with Sample,HCP Call,,DSA TOP 30,3501A1
1611969955,Sample Only,P2P Call,6/16/2024,NON-TARGET,3101A1
1678604461,Detail Only,SAM HCO Call Report,12/31/2024,DSA NEXT BEST,3502S1
2940766328,Detail Only,P2P Call,1/12/2024,DSA TOP 30,3102A1
1164015958,Detail Only,Sampled Call,12/4/2024,DSA NT AFFILIATE,3302A1
1560784272,Sample Only,Sampled Call,7/8/2024,DSA NEXT BEST,3303A1
E73B347B68,Call Only,Sampled Call,11/16/2024,DSA NT AFFILIATE,3303A1
1200226973,Sample Only,Sampled Call,4/30/2024,DSS TOP 30,3203S1
,Detail with Sample,Sampled Call,2/12/2024,DSA TOP 30,3601A1
,Group Detail,Event Call Report,12/3/2024,DSA NT AFFILIATE,3502S1
1114823881,Group Detail,Non-Sampled Call,1/22/2024,DSA NEXT BEST,3501A1
2922971334,Detail with Sample,P2P Call,6/21/2024,DSA TOP 30,3202S1
1458670518,Sample Only,Group Training,8/25/2024,DSA TOP 30,3502S1
2319125767,Group Detail,Sampled Call,,DSA NT AFFILIATE,3602S1
1180814079,Detail with Sample,Non-Sampled Call,1/25/2024,DSA NEXT BEST,3103A1
,Call Only,HCP Call,9/7/2024,DSS TOP 30,3103A1
,Detail Only,HCP Call,,NON-TARGET,3203S1
1393594096,Group Detail,P2P Call,7/5/2024,NON-TARGET,3602S1
9048489901,Call Only,Sampled Call,9/27/2024,NON-TARGET,3302A1
2092072509,Sample Only,SAM HCO Call Report,9/8/2024,DSA NT AFFILIATE,3201S1
1384011498,Call Only,HCP Call,9/26/2024,DSA NEXT BEST,3201S1
,Call Only,Non-Sampled Call,,DSA TOP 30,3101A1
2894430152,Group Detail,Marketing Event,10/19/2024,DSA TOP 30,3602S1
2316067855,Sample Only,HCP Call,11/11/2024,NON-TARGET,3502S1
2933355600,Call Only,HCP Call,8/30/2024,DSA NEXT BEST,3102A1
9529170632,Detail with Sample,Marketing Event,5/11/2024,NON-TARGET,3402S1
EBCCD752AC,Group Detail,HCP Call,12/20/2024,DSA NT AFFILIATE,3101A1
2185635307,Sample Only,P2P Call,2/25/2024,DSA TOP 30,3601A1
,Detail Only,HCP Call,9/29/2024,DSS TOP 30,3401S1
2802190146,Group Detail,Non-Sampled Call,2/11/2024,DSS TOP 30,3303A1
2618824035,Sample Only,Sampled Call,10/22/2024,NON-TARGET,3501A1
1104355043,Call Only,Group Training,10/25/2024,DSS TOP 30,3402S1
1020199327,Group Detail,Event Call Report,6/30/2024,DSS TOP 30,3301A1
1420330423,Call Only,Sampled Call,10/6/2024,DSA NT AFFILIATE,3301A1
2004750663,Call Only,P2P Call,9/29/2024,DSA NT AFFILIATE,3301A1
2035935002,Group Detail,POC Call Report,3/17/2024,DSS TOP 30,3203S1
2374236418,Sample Only,Sampled Call,9/22/2024,DSA NEXT BEST,3101A1
1138561814,Detail with Sample,HCP Call,1/27/2024,DSA NT AFFILIATE,3302A1
2084671169,Group Detail,Sampled Call,2/26/2024,NON-TARGET,3102A1
1815744808,Call Only,SAM HCO Call Report,2/29/2024,DSA TOP 30,3501A1
2205822931,Group Detail,P2P Call,1/9/2024,NON-TARGET,3303A1
6A2E9BD75E,Sample Only,Marketing Event,,NON-TARGET,3601A1
2777529757,Group Detail,Non-Sampled Call,4/11/2024,DSA NEXT BEST,3202S1
1927277770,Call Only,Marketing Event,1/29/2024,DSS TOP 30,3601A1
3604185458,Sample Only,Sampled Call,4/3/2024,DSA TOP 30,3203S1
1818141606,Detail with Sample,POC Call Report,5/24/2024,DSA TOP 30,3102A1
057D339C17,Group Detail,Non-Sampled Call,7/18/2024,DSA NEXT BEST,3301A1
6167954764,Detail Only,POC Call Report,,DSS TOP 30,3501A1
2302839354,Group Detail,POC Call Report,5/9/2024,DSA TOP 30,3601A1
7909376068,Detail with Sample,POC Call Report,1/24/2024,DSA NEXT BEST,3101A1
,Group Detail,Event Call Report,,DSA NT AFFILIATE,3202S1
2288943414,Sample Only,Event Call Report,7/29/2024,DSA NEXT BEST,3602S1
,Sample Only,Marketing Event,11/13/2024,DSS TOP 30,3103A1
1694313949,Detail with Sample,P2P Call,9/5/2024,NON-TARGET,3301A1
2961451087,Group Detail,HCP Call,12/14/2024,DSA NT AFFILIATE,3201S1
,Detail Only,Non-Sampled Call,,DSA NT AFFILIATE,3601A1
2293820508,Detail Only,P2P Call,8/17/2024,DSA NEXT BEST,3203S1
1152046932,Detail with Sample,Non-Sampled Call,4/14/2024,DSA TOP 30,3101A1
2532034416,Sample Only,Event Call Report,1/19/2024,DSS TOP 30,3501A1
,Group Detail,Marketing Event,4/11/2024,NON-TARGET,3301A1
1249791185,Sample Only,SAM HCO Call Report,,NON-TARGET,3302A1
1338720525,Detail with Sample,Sampled Call,5/9/2024,DSA TOP 30,3201S1
2033603024,Sample Only,Group Training,4/27/2024,DSA TOP 30,3501A1
1360184293,Detail Only,Marketing Event,4/20/2024,NON-TARGET,3201S1
2100232269,Call Only,Group Training,11/2/2024,DSA NT AFFILIATE,3601A1
2755760622,Call Only,Event Call Report,10/18/2024,DSA NT AFFILIATE,3203S1
1035008141,Detail Only,Marketing Event,8/6/2024,NON-TARGET,3201S1
,Call Only,Sampled Call,3/19/2024,DSA TOP 30,3203S1
,Sample Only,SAM HCO Call Report,1/12/2024,NON-TARGET,3102A1
2923311183,Group Detail,SAM HCO Call Report,,DSA NT AFFILIATE,3201S1
1845150893,Sample Only,HCP Call,4/24/2024,DSA TOP 30,3501A1
1366432999,Sample Only,Non-Sampled Call,,DSA NEXT BEST,3402S1
2598740377,Call Only,Group Training,,DSA NEXT BEST,3101A1
1759800210,Group Detail,Event Call Report,3/28/2024,NON-TARGET,3602S1
412F5E8AFF,Detail Only,POC Call Report,6/6/2024,DSA NEXT BEST,3201S1
1885073336,Detail Only,Marketing Event,2/14/2024,DSA TOP 30,3203S1
,Detail with Sample,HCP Call,1/31/2024,DSA NT AFFILIATE,3202S1
2532034416,Group Detail,Marketing Event,2/8/2024,DSS TOP 30,3202S1
2506008370,Sample Only,SAM HCO Call Report,7/24/2024,DSA NT AFFILIATE,3402S1
2916071430,Call Only,P2P Call,6/17/2024,DSA TOP 30,3501A1
2618681551,Sample Only,POC Call Report,10/24/2024,DSA NT AFFILIATE,3301A1
2939108847,Call Only,POC Call Report,4/2/2024,DSA TOP 30,3301A1
1387563370,Detail Only,HCP Call,12/5/2024,DSA NEXT BEST,3602S1
2668501949,Group Detail,Group Training,3/7/2024,NON-TARGET,3303A1
2100908884,Group Detail,HCP Call,9/18/2024,DSA NEXT BEST,3303A1
,Detail Only,P2P Call,8/6/2024,DSA TOP 30,3103A1
2063012856,Detail Only,Non-Sampled Call,5/8/2024,NON-TARGET,3501A1
2625854068,Detail with Sample,P2P Call,10/8/2024,DSA TOP 30,3302A1
,Call Only,Non-Sampled Call,,NON-TARGET,3303A1
1114823881,Detail Only,P2P Call,7/28/2024,DSA TOP 30,3501A1
2468889296,Call Only,POC Call Report,5/3/2024,DSA TOP 30,3402S1
4793417595,Detail Only,Group Training,,NON-TARGET,3203S1
,Detail Only,Marketing Event,,NON-TARGET,3602S1
2951124599,Detail Only,POC Call Report,6/20/2024,DSS TOP 30,3601A1
1885073336,Group Detail,Non-Sampled Call,5/28/2024,DSA NT AFFILIATE,3602S1
1539460152,Detail with Sample,Event Call Report,4/28/2024,DSA TOP 30,3402S1
2303139832,Group Detail,SAM HCO Call Report,12/17/2024,DSA NT AFFILIATE,3501A1
1397122167,Group Detail,Marketing Event,10/31/2024,DSA NT AFFILIATE,3101A1
,Call Only,Marketing Event,,DSS TOP 30,3202S1
2587335445,Call Only,Sampled Call,7/16/2024,DSA NEXT BEST,3501A1
1035008141,Call Only,Sampled Call,7/6/2024,DSA NT AFFILIATE,3401S1
,Call Only,Marketing Event,2/19/2024,DSA NT AFFILIATE,3301A1
1635007634,Group Detail,Event Call Report,2/21/2024,NON-TARGET,3101A1
2229774019,Group Detail,Sampled Call,,DSS TOP 30,3601A1
1890087081,Group Detail,POC Call Report,5/1/2024,DSA NEXT BEST,3501A1
,Sample Only,HCP Call,2/10/2024,NON-TARGET,3601A1
5AD12F1ED2,Detail with Sample,HCP Call,10/9/2024,DSA TOP 30,3201S1
2543518118,Detail Only,SAM HCO Call Report,8/30/2024,DSA NEXT BEST,3101A1
2944273545,Detail with Sample,Group Training,4/10/2024,DSA TOP 30,3601A1
1196641656,Call Only,Group Training,9/2/2024,DSA NT AFFILIATE,3303A1
1196912603,Detail with Sample,P2P Call,10/10/2024,DSA NEXT BEST,3401S1
1683398778,Call Only,HCP Call,7/7/2024,NON-TARGET,3602S1
1075928927,Group Detail,Non-Sampled Call,1/12/2024,DSS TOP 30,3501A1
9285465911,Group Detail,POC Call Report,3/17/2024,DSA TOP 30,3303A1
,Call Only,HCP Call,2/25/2024,DSA TOP 30,3203S1
,Group Detail,Non-Sampled Call,10/23/2024,DSA NT AFFILIATE,3502S1
5458743183,Group Detail,Non-Sampled Call,4/7/2024,DSA NT AFFILIATE,3101A1
1815494354,Sample Only,Marketing Event,5/31/2024,DSA NT AFFILIATE,3501A1
2164289973,Call Only,Sampled Call,7/17/2024,DSS TOP 30,3302A1
2788053169,Detail with Sample,P2P Call,12/15/2024,DSA NT AFFILIATE,3502S1
2368552093,Call Only,POC Call Report,9/23/2024,DSA NT AFFILIATE,3601A1
2784092146,Detail Only,Marketing Event,1/25/2024,DSS TOP 30,3402S1
1642112302,Group Detail,Sampled Call,2/6/2024,DSA NEXT BEST,3502S1
2348722980,Group Detail,Non-Sampled Call,12/28/2024,DSA NT AFFILIATE,3601A1
1347701169,Detail with Sample,Non-Sampled Call,3/3/2024,DSA NEXT BEST,3401S1
,Sample Only,Non-Sampled Call,,NON-TARGET,3201S1
9501587191,Detail Only,Group Training,12/9/2024,DSA NEXT BEST,3201S1
1135392202,Call Only,Group Training,2/10/2024,DSA NT AFFILIATE,3501A1
1427935943,Detail with Sample,Marketing Event,9/17/2024,NON-TARGET,3202S1
,Detail Only,Group Training,,DSS TOP 30,3302A1
2481434617,Sample Only,Non-Sampled Call,,DSA NT AFFILIATE,3502S1
,Detail Only,Group Training,7/16/2024,DSA NT AFFILIATE,3602S1
2459595068,Group Detail,P2P Call,9/8/2024,NON-TARGET,3402S1
4621427238,Call Only,Sampled Call,2/17/2024,DSS TOP 30,3602S1
,Call Only,Group Training,,DSA NT AFFILIATE,3501A1
1138561814,Detail Only,Non-Sampled Call,2/14/2024,DSA NEXT BEST,3201S1
,Detail with Sample,Non-Sampled Call,1/9/2024,DSS TOP 30,3103A1
945CB1E430,Sample Only,Event Call Report,,DSA TOP 30,3401S1
2349352100,Detail Only,HCP Call,5/8/2024,NON-TARGET,3303A1
2490834070,Call Only,Sampled Call,12/13/2024,NON-TARGET,3303A1
1338720525,Detail with Sample,Event Call Report,12/9/2024,DSA TOP 30,3102A1
1950477586,Detail Only,SAM HCO Call Report,4/6/2024,DSA TOP 30,3201S1
,Call Only,Group Training,,DSA NEXT BEST,3202S1
2264317740,Detail with Sample,POC Call Report,4/14/2024,NON-TARGET,3203S1
1043839438,Detail with Sample,SAM HCO Call Report,1/1/2024,NON-TARGET,3301A1
1021079171,Group Detail,P2P Call,,DSS TOP 30,3601A1
2784912160,Sample Only,Group Training,7/19/2024,DSA TOP 30,3101A1
2838034896,Group Detail,P2P Call,1/22/2024,NON-TARGET,3502S1
,Call Only,Event Call Report,8/16/2024,NON-TARGET,3103A1
1974014134,Detail Only,P2P Call,7/19/2024,DSA TOP 30,3402S1
2902000443,Sample Only,P2P Call,6/28/2024,DSA NT AFFILIATE,3101A1
2590950735,Detail Only,Marketing Event,8/30/2024,DSS TOP 30,3201S1
,Detail with Sample,SAM HCO Call Report,1/26/2024,DSA NEXT BEST,3602S1
2239236348,Sample Only,POC Call Report,6/22/2024,DSS TOP 30,3602S1
2416327852,Group Detail,Group Training,9/20/2024,DSA TOP 30,3103A1
1815251267,Group Detail,Group Training,4/22/2024,DSS TOP 30,3401S1
1367812979,Call Only,SAM HCO Call Report,8/13/2024,DSA TOP 30,3401S1
3B61283BD5,Sample Only,HCP Call,9/1/2024,DSS TOP 30,3401S1
2206887339,Group Detail,Marketing Event,10/7/2024,DSA NT AFFILIATE,3401S1
1046537682,Sample Only,POC Call Report,2/18/2024,DSA NT AFFILIATE,3303A1
1489709186,Detail Only,HCP Call,11/26/2024,DSS TOP 30,3502S1
,Group Detail,P2P Call,,DSA TOP 30,3202S1
,Detail with Sample,Sampled Call,1/26/2024,DSA TOP 30,3601A1
,Detail Only,Event Call Report,7/1/2024,NON-TARGET,3201S1
2205645365,Call Only,Group Training,3/23/2024,NON-TARGET,3602S1
1414587202,Call Only,Sampled Call,9/27/2024,DSS TOP 30,3601A1
,Group Detail,SAM HCO Call Report,2/16/2024,DSA NT AFFILIATE,3202S1
,Call Only,Sampled Call,,NON-TARGET,3103A1
2666656059,Group Detail,HCP Call,8/7/2024,DSA TOP 30,3301A1
,Group Detail,SAM HCO Call Report,11/3/2024,DSA TOP 30,3203S1
,Detail Only,HCP Call,,NON-TARGET,3201S1
7CCDDABF91,Detail Only,P2P Call,3/4/2024,DSA NT AFFILIATE,3202S1
2716918699,Sample Only,HCP Call,9/10/2024,DSA NT AFFILIATE,3602S1
2137953655,Detail with Sample,Marketing Event,8/21/2024,NON-TARGET,3303A1
2511101749,Group Detail,Sampled Call,9/5/2024,DSS TOP 30,3201S1
2570264704,Group Detail,Group Training,11/19/2024,DSA NT AFFILIATE,3201S1
,Detail Only,HCP Call,8/23/2024,DSA NEXT BEST,3303A1
2055079971,Detail with Sample,SAM HCO Call Report,11/22/2024,DSA NT AFFILIATE,3502S1
,Group Detail,Marketing Event,,DSA NT AFFILIATE,3301A1
2843031424,Sample Only,HCP Call,5/30/2024,DSA NEXT BEST,3103A1
2418329658,Sample Only,P2P Call,,DSA NT AFFILIATE,3201S1
1327229405,Sample Only,POC Call Report,3/23/2024,DSA NT AFFILIATE,3601A1
5057071713,Sample Only,Event Call Report,,DSA NT AFFILIATE,3601A1
DDC73FBD17,Detail Only,POC Call Report,9/18/2024,DSA NEXT BEST,3202S1
1980589467,Call Only,POC Call Report,4/29/2024,DSA TOP 30,3301A1
,Call Only,Sampled Call,11/24/2024,DSA NEXT BEST,3203S1
2982050292,Detail Only,Marketing Event,5/8/2024,DSA NT AFFILIATE,3601A1
1798362255,Detail Only,Marketing Event,12/7/2024,DSA NT AFFILIATE,3203S1
2490834070,Detail Only,Non-Sampled Call,7/12/2024,DSS TOP 30,3303A1
1249791185,Group Detail,P2P Call,5/6/2024,DSS TOP 30,3302A1
2205822931,Call Only,HCP Call,10/6/2024,NON-TARGET,3201S1
1467330534,Call Only,Marketing Event,8/17/2024,DSA NT AFFILIATE,3402S1
2468889296,Sample Only,P2P Call,10/10/2024,NON-TARGET,3402S1
,Sample Only,Event Call Report,,DSS TOP 30,3303A1
2840227124,Detail Only,P2P Call,5/24/2024,DSA NT AFFILIATE,3101A1
1961053343,Call Only,Marketing Event,7/30/2024,DSA NT AFFILIATE,3401S1
2802190146,Detail Only,P2P Call,12/12/2024,DSA TOP 30,3301A1
1677595820,Group Detail,Non-Sampled Call,,DSA NT AFFILIATE,3103A1
1046537682,Group Detail,Group Training,12/24/2024,DSS TOP 30,3501A1
2784092146,Sample Only,Event Call Report,3/10/2024,NON-TARGET,3602S1
1528233495,Detail with Sample,SAM HCO Call Report,4/22/2024,DSA TOP 30,3402S1
1932210477,Call Only,Marketing Event,4/10/2024,NON-TARGET,3301A1
2485304501,Sample Only,SAM HCO Call Report,1/10/2024,NON-TARGET,3402S1
2621440664,Detail Only,HCP Call,5/24/2024,DSA NT AFFILIATE,3401S1
1723333173,Detail with Sample,HCP Call,8/15/2024,DSA NT AFFILIATE,3502S1
1573804943,Group Detail,HCP Call,12/18/2024,DSA TOP 30,3301A1
7896885592,Call Only,Sampled Call,5/27/2024,DSA NT AFFILIATE,3602S1
,Call Only,Marketing Event,,NON-TARGET,3502S1
,Detail Only,P2P Call,,DSA TOP 30,3401S1
2868764339,Detail with Sample,Group Training,10/30/2024,DSA NEXT BEST,3103A1
1185101985,Group Detail,POC Call Report,1/27/2024,DSA NT AFFILIATE,3102A1
1487556902,Detail Only,HCP Call,1/14/2024,DSA TOP 30,3102A1
2329442780,Detail Only,Sampled Call,12/6/2024,DSA NEXT BEST,3203S1
,Detail Only,POC Call Report,,DSA TOP 30,3201S1
8623898098,Detail Only,HCP Call,12/2/2024,DSS TOP 30,3101A1
2160846586,Detail Only,HCP Call,9/9/2024,NON-TARGET,3501A1
1043839438,Detail with Sample,Sampled Call,9/28/2024,DSA NT AFFILIATE,3401S1
2288429810,Detail Only,Marketing Event,1/5/2024,DSA NT AFFILIATE,3303A1
,Sample Only,Non-Sampled Call,,DSA NT AFFILIATE,3302A1
